Dark_Cave
Darkness_Abound.ogg
Assets/Levels/Boss - Undead Mystic.txt
Tile TileGrassCenter 36 1
Tile TileGrassCenter 34 1
Tile TileGrassCenter 35 1
Tile TileGrassCenter 33 1
Tile TileGrassCenter 32 1
Tile TileGrassCenter 27 1
Tile TileGrassCenter 26 1
Tile TileGrassCenter 25 1
Tile TileGrassCenter 23 1
Tile TileGrassCenter 24 1
Tile LevelGoal 107 8
Tile TileGrassCenter 4 10
Tile TileGrassCenter 3 10
Tile TileGrassCenter 2 10
Tile TileGrassCenter 5 10
Tile TileGrassCenter 6 10
Tile TileGrassCenter 7 10
Tile TileGrassCenter 8 10
Tile TileGrassCenter 13 10
Tile TileGrassCenter 15 10
Tile TileGrassCenter 14 10
Tile TileGrassCenter 17 10
Tile TileGrassCenter 16 10
Tile TileGrassCenter 18 10
Tile TileGrassCenter 20 10
Tile TileGrassCenter 19 10
Tile TileGrassCenter 21 10
Tile TileGrassCenter 22 10
Tile TileGrassCenter 23 10
Tile TileGrassCenter 25 10
Tile TileGrassCenter 24 10
Tile TileGrassCenter 35 10
Tile TileGrassCenter 34 10
Tile TileGrassCenter 37 10
Tile TileGrassCenter 36 10
Tile TileGrassCenter 38 10
Tile TileGrassCenter 39 10
Tile TileGrassCenter 41 10
Tile TileGrassCenter 40 10
Tile TileGrassCenter 42 10
Tile TileGrassCenter 43 10
Tile TileGrassCenter 45 10
Tile TileGrassCenter 44 10
Tile TileGrassCenter 46 10
Tile TileGrassCenter 56 10
Tile TileGrassCenter 53 10
Tile TileGrassCenter 55 10
Tile TileGrassCenter 54 10
Tile TileGrassCenter 57 10
Tile TileGrassCenter 58 10
Tile TileGrassCenter 59 10
Tile TileGrassCenter 60 10
Tile TileGrassCenter 61 10
Tile TileGrassCenter 62 10
Tile TileGrassCenter 63 10
Tile TileGrassCenter 68 10
Tile TileGrassCenter 70 10
Tile TileGrassCenter 69 10
Tile TileGrassCenter 71 10
Tile TileGrassCenter 72 10
Tile TileGrassCenter 76 10
Tile TileGrassCenter 78 10
Tile TileGrassCenter 77 10
Tile TileGrassCenter 79 10
Tile TileGrassCenter 81 10
Tile TileGrassCenter 80 10
Tile TileGrassCenter 82 10
Tile TileGrassCenter 83 10
Tile TileGrassCenter 84 10
Tile TileGrassCenter 90 10
Tile TileGrassCenter 91 10
Tile TileGrassCenter 92 10
Tile TileGrassCenter 93 10
Tile TileGrassCenter 94 10
Tile TileGrassCenter 95 10
Tile TileGrassCenter 96 10
Tile TileGrassCenter 98 10
Tile TileGrassCenter 97 10
Tile TileGrassCenter 99 10
Tile TileGrassCenter 100 10
Tile TileGrassCenter 102 10
Tile TileGrassCenter 101 10
Tile TileGrassCenter 103 10
Tile TileGrassCenter 104 10
Tile TileGrassCenter 111 7
Tile TileGrassCenter 113 6
Tile TileGrassCenter 112 6
Tile TileGrassCenter 113 5
Tile TileGrassCenter 113 4
Tile TileGrassCenter 113 3
Tile TileGrassCenter 114 3
Tile TileGrassCenter 114 4
Tile TileGrassCenter 9 9
Tile TileGrassCenter 10 8
Tile TileGrassCenter 10 7
Tile TileGrassCenter 11 7
Tile TileGrassCenter 11 8
Tile TileGrassCenter 12 9
Tile TileGrassCenter 19 6
Tile TileGrassCenter 19 5
Tile TileGrassCenter 20 5
Tile TileGrassCenter 20 6
Tile TileGrassCenter 21 6
Tile TileGrassCenter 18 6
Tile TileGrassCenter 26 9
Tile TileGrassCenter 27 8
Tile TileGrassCenter 28 7
Tile TileGrassCenter 29 6
Tile TileGrassCenter 30 6
Tile TileGrassCenter 27 2
Tile TileGrassCenter 28 2
Tile TileGrassCenter 29 3
Tile TileGrassCenter 32 2
Tile TileGrassCenter 31 3
Tile TileGrassCenter 30 3
Tile TileGrassCenter 31 6
Tile TileGrassCenter 32 7
Tile TileGrassCenter 33 8
Tile TileGrassCenter 33 9
Tile TileGrassCenter 37 2
Tile TileGrassCenter 38 3
Tile TileGrassCenter 39 4
Tile TileGrassCenter 40 3
Tile TileGrassCenter 41 3
Tile TileGrassCenter 42 4
Tile TileGrassCenter 43 3
Tile TileGrassCenter 44 2
Tile TileGrassCenter 46 9
Tile TileGrassCenter 48 8
Tile TileGrassCenter 50 7
Tile TileGrassCenter 49 7
Tile TileGrassCenter 51 8
Tile TileGrassCenter 49 2
Tile TileGrassCenter 48 2
Tile TileGrassCenter 57 2
Tile TileGrassCenter 57 3
Tile TileGrassCenter 58 3
Tile TileGrassCenter 59 5
Tile TileGrassCenter 59 4
Tile TileGrassCenter 60 5
Tile TileGrassCenter 60 6
Tile TileGrassCenter 61 3
Tile TileGrassCenter 61 4
Tile TileGrassCenter 62 2
Tile TileGrassCenter 53 9
Tile TileGrassCenter 64 9
Tile TileGrassCenter 65 8
Tile TileGrassCenter 66 7
Tile TileGrassCenter 67 8
Tile TileGrassCenter 67 9
Tile TileGrassCenter 74 2
Tile TileGrassCenter 78 4
Tile TileGrassCenter 75 2
Tile TileGrassCenter 77 3
Tile TileGrassCenter 76 3
Tile TileGrassCenter 79 3
Tile TileGrassCenter 80 2
Tile TileGrassCenter 73 9
Tile TileGrassCenter 75 9
Tile TileGrassCenter 74 8
Tile TileGrassCenter 84 9
Tile TileGrassCenter 89 9
Tile TileGrassCenter 88 8
Tile TileGrassCenter 87 7
Tile TileGrassCenter 86 8
Tile TileGrassCenter 85 9
Tile TileGrassCenter 84 3
Tile TileGrassCenter 85 2
Tile TileGrassCenter 83 2
Tile TileGrassCenter 91 2
Tile TileGrassCenter 97 5
Tile TileGrassCenter 97 4
Tile TileGrassCenter 98 4
Tile TileGrassCenter 98 3
Tile TileGrassCenter 99 2
Tile TileGrassCenter 96 3
Tile TileGrassCenter 95 2
Tile TileGrassCenter 94 2
Tile TileGrassCenter 92 3
Tile TileGrassCenter 93 3
Tile TileGrassCenter 104 9
Tile TileGrassCenter 105 9
Tile TileGrassCenter 105 8
Tile TileGrassCenter 106 8
Tile TileGrassCenter 107 9
Tile TileGrassCenter 108 8
Tile TileGrassCenter 108 7
Tile TileGrassCenter 109 7
Tile TileGrassCenter 110 8
Tile TileGrassCenter 109 8
Tile TileGrassCenter 47 9
Tile TileGrassCenter 52 9
Tile TileGrassCenter 114 6
Tile TileGrassCenter 115 7
Tile TileGrassCenter 116 8
Tile TileGrassCenter 117 8
Tile TileGrassCenter 115 2
Tile TileGrassCenter 116 1
Tile TileGrassCenter 117 0
Tile TileGrassCenter 114 0
Tile TileGrassCenter 115 1
Tile TileGrassCenter 114 1
Tile TileGrassCenter 116 9
Tile TileGrassCenter 117 10
Tile TileGrassCenter 110 9
Tile TileGrassCenter 111 10
Tile TileGrassCenter 113 10
Tile TileGrassCenter 113 12
Tile TileGrassCenter 111 12
Tile Slime 19 7
Tile Bat 40 7
Tile Slime 35 2
Tile Mushroom 46 2
Tile Slime 54 2
Tile Slime 81 2
Tile ManaFlower 87 6
Tile ManaFlower 74 7
Tile ManaFlower 10 6
Tile ManaFlower 28 6
Tile ManaFlower 52 8
Tile ManaFlower 95 9
Tile Bat 11 4
Tile Slime 15 2
Tile Box 12 2
Tile Bat 26 5
Tile Bat 56 6
Tile Bat 65 5
Tile Box 64 2
Tile Box 50 2
Tile Box 40 4
Tile Box 85 3
Tile TileGrassCenter 0 3
Tile TileGrassCenter 0 2
Tile TileGrassCenter 1 2
Tile TileGrassCenter 1 1
Tile TileGrassCenter 1 0
Tile TileGrassCenter 0 1
Tile TileGrassCenter 0 0
Tile TileGrassCenter 0 6
Tile TileGrassCenter 0 7
Tile TileGrassCenter 0 9
Tile TileGrassCenter 0 10
Tile TileGrassCenter 1 10
Tile TileGrassCenter 1 9
Tile TileGrassCenter 2 9
Tile TileGrassCenter 1 8
Tile TileGrassCenter 1 7
Tile TileGrassCenter 0 8
Tile TileGrassCenter 11 9
Tile TileGrassCenter 10 9
Tile TileGrassCenter 9 10
Tile TileGrassCenter 10 10
Tile TileGrassCenter 12 10
Tile TileGrassCenter 11 10
Tile TileGrassCenter 30 2
Tile TileGrassCenter 31 1
Tile TileGrassCenter 31 2
Tile TileGrassCenter 30 1
Tile TileGrassCenter 29 2
Tile TileGrassCenter 29 1
Tile TileGrassCenter 28 1
Tile TileGrassCenter 26 10
Tile TileGrassCenter 27 10
Tile TileGrassCenter 28 10
Tile TileGrassCenter 29 10
Tile TileGrassCenter 30 10
Tile TileGrassCenter 31 10
Tile TileGrassCenter 32 10
Tile TileGrassCenter 33 10
Tile TileGrassCenter 32 9
Tile TileGrassCenter 32 8
Tile TileGrassCenter 31 9
Tile TileGrassCenter 31 8
Tile TileGrassCenter 31 7
Tile TileGrassCenter 30 7
Tile TileGrassCenter 29 7
Tile TileGrassCenter 29 8
Tile TileGrassCenter 28 8
Tile TileGrassCenter 28 9
Tile TileGrassCenter 27 9
Tile TileGrassCenter 29 9
Tile TileGrassCenter 30 9
Tile TileGrassCenter 30 8
Tile TileGrassCenter 39 3
Tile TileGrassCenter 39 2
Tile TileGrassCenter 38 2
Tile TileGrassCenter 38 1
Tile TileGrassCenter 39 1
Tile TileGrassCenter 40 2
Tile TileGrassCenter 40 1
Tile TileGrassCenter 41 2
Tile TileGrassCenter 41 1
Tile TileGrassCenter 42 1
Tile TileGrassCenter 43 1
Tile TileGrassCenter 43 2
Tile TileGrassCenter 42 2
Tile TileGrassCenter 42 3
Tile TileGrassCenter 48 9
Tile TileGrassCenter 47 10
Tile TileGrassCenter 48 10
Tile TileGrassCenter 49 10
Tile TileGrassCenter 50 10
Tile TileGrassCenter 52 10
Tile TileGrassCenter 51 10
Tile TileGrassCenter 51 9
Tile TileGrassCenter 50 9
Tile TileGrassCenter 50 8
Tile TileGrassCenter 49 8
Tile TileGrassCenter 49 9
Tile TileGrassCenter 62 1
Tile TileGrassCenter 61 2
Tile TileGrassCenter 61 1
Tile TileGrassCenter 60 2
Tile TileGrassCenter 60 1
Tile TileGrassCenter 59 2
Tile TileGrassCenter 59 1
Tile TileGrassCenter 58 2
Tile TileGrassCenter 58 1
Tile TileGrassCenter 57 1
Tile TileGrassCenter 59 3
Tile TileGrassCenter 60 3
Tile TileGrassCenter 60 4
Tile TileGrassCenter 64 10
Tile TileGrassCenter 65 10
Tile TileGrassCenter 66 9
Tile TileGrassCenter 66 8
Tile TileGrassCenter 65 9
Tile TileGrassCenter 66 10
Tile TileGrassCenter 67 10
Tile TileGrassCenter 75 10
Tile TileGrassCenter 74 10
Tile TileGrassCenter 73 10
Tile TileGrassCenter 74 9
Tile TileGrassCenter 80 1
Tile TileGrassCenter 78 1
Tile TileGrassCenter 79 2
Tile TileGrassCenter 79 1
Tile TileGrassCenter 78 2
Tile TileGrassCenter 78 3
Tile TileGrassCenter 76 2
Tile TileGrassCenter 76 1
Tile TileGrassCenter 77 1
Tile TileGrassCenter 77 2
Tile TileGrassCenter 75 1
Tile TileGrassCenter 74 1
Tile TileGrassCenter 84 2
Tile TileGrassCenter 84 1
Tile TileGrassCenter 83 1
Tile TileGrassCenter 85 1
Tile TileGrassCenter 85 10
Tile TileGrassCenter 86 10
Tile TileGrassCenter 86 9
Tile TileGrassCenter 87 9
Tile TileGrassCenter 87 8
Tile TileGrassCenter 88 9
Tile TileGrassCenter 88 10
Tile TileGrassCenter 87 10
Tile TileGrassCenter 89 10
Tile TileGrassCenter 93 2
Tile TileGrassCenter 93 1
Tile TileGrassCenter 92 2
Tile TileGrassCenter 92 1
Tile TileGrassCenter 91 1
Tile TileGrassCenter 94 1
Tile TileGrassCenter 95 1
Tile TileGrassCenter 96 2
Tile TileGrassCenter 96 1
Tile TileGrassCenter 97 3
Tile TileGrassCenter 98 2
Tile TileGrassCenter 99 1
Tile TileGrassCenter 98 1
Tile TileGrassCenter 97 1
Tile TileGrassCenter 97 2
Tile TileGrassCenter 105 10
Tile TileGrassCenter 107 10
Tile TileGrassCenter 106 9
Tile TileGrassCenter 106 10
Tile TileGrassCenter 108 9
Tile TileGrassCenter 109 9
Tile TileGrassCenter 110 10
Tile TileGrassCenter 109 10
Tile TileGrassCenter 108 10
Tile TileGrassCenter 111 11
Tile TileGrassCenter 112 12
Tile TileGrassCenter 110 11
Tile TileGrassCenter 112 8
Tile TileGrassCenter 111 8
Tile TileGrassCenter 112 7
Tile TileGrassCenter 113 7
Tile TileGrassCenter 114 7
Tile TileGrassCenter 114 8
Tile TileGrassCenter 113 8
Tile TileGrassCenter 112 9
Tile TileGrassCenter 111 9
Tile TileGrassCenter 113 9
Tile TileGrassCenter 114 9
Tile TileGrassCenter 115 9
Tile TileGrassCenter 115 8
Tile TileGrassCenter 114 5
Tile TileGrassCenter 115 6
Tile TileGrassCenter 115 5
Tile TileGrassCenter 115 3
Tile TileGrassCenter 115 4
Tile TileGrassCenter 116 3
Tile TileGrassCenter 116 2
Tile TileGrassCenter 116 4
Tile TileGrassCenter 116 5
Tile TileGrassCenter 115 0
Tile TileGrassCenter 116 0
Tile TileGrassCenter 116 6
Tile TileGrassCenter 116 7
Tile TileGrassCenter 113 11
Tile TileGrassCenter 112 11
Tile TileGrassCenter 112 10
Tile TileGrassCenter 114 10
Tile TileGrassCenter 115 10
Tile TileGrassCenter 116 10
Tile ChatBox 103 2 Assets/Cutscenes/Cutscene_6.txt
