Mysterious_Forest
Mysteriously_Magical.ogg
Assets/Levels/4 - Rotting Cave.txt
Tile ManaFlower 139 7
Tile TileGrass 172 3
Tile TileGrass 172 2
Tile TileGrass 171 2
Tile TileGrass 170 2
Tile TileMud 173 1
Tile TileMud 172 1
Tile TileGrass 22 6
Tile TileGrass 23 6
Tile TileGrass 24 6
Tile TileGrass 25 6
Tile TileMud 23 5
Tile TileMud 24 5
Tile ManaFlower 22 5
Tile TileGrassMid 31 6
Tile TileGrassMid 30 6
Tile TileGrassLeft 29 6
Tile TileGrassRight 32 6
Tile TileGrass 41 2
Tile TileMud 40 1
Tile TileMud 40 0
Tile TileMud 39 -1
Tile TileMud 40 -1
Tile TileMud 41 -1
Tile TileMud 42 -1
Tile TileGrass 40 2
Tile TileGrass 39 0
Tile TileGrass 38 -1
Tile TileGrass 43 -1
Tile TileGrassMid 55 5
Tile TileGrassLeft 54 5
Tile TileGrassRight 56 5
Tile Box 55 6
Tile TileGrassMid 60 7
Tile TileGrassMid 61 7
Tile TileGrassLeft 59 7
Tile TileGrassRight 62 7
Tile ManaFlower 41 1
Tile TileMud 38 -2
Tile TileMud 39 -2
Tile TileMud 41 -2
Tile TileMud 42 -2
Tile TileMud 43 -2
Tile TileMud 40 -2
Tile TileMud 39 -3
Tile TileMud 38 -3
Tile TileMud 40 -3
Tile TileMud 41 -3
Tile TileMud 42 -3
Tile TileMud 43 -3
Tile TileMud 70 5
Tile TileMud 69 5
Tile TileGrass 70 6
Tile TileGrass 71 6
Tile TileGrass 69 6
Tile TileGrass 68 6
Tile ManaFlower 71 5
Tile Box 70 7
Tile TileMud 85 1
Tile TileMud 86 1
Tile TileMud 84 1
Tile TileMud 84 0
Tile TileMud 85 -1
Tile TileMud 86 -1
Tile TileMud 86 0
Tile TileMud 85 0
Tile TileMud 84 -1
Tile TileGrass 86 2
Tile TileGrass 85 2
Tile TileGrass 84 2
Tile Box 85 3
Tile TileGrassMid 106 5
Tile TileGrassMid 107 5
Tile TileGrassMid 108 5
Tile TileGrassMid 105 5
Tile TileGrassLeft 104 5
Tile TileGrassRight 109 5
Tile TileGrass 102 1
Tile TileMud 102 0
Tile TileMud 102 -1
Tile TileMud 112 0
Tile TileMud 112 -1
Tile TileGrass 112 1
Tile TileGrassMid 129 5
Tile TileGrassLeft 128 5
Tile TileGrassMid 130 5
Tile TileGrassRight 131 5
Tile TileGrass 134 1
Tile TileGrass 133 1
Tile TileMud 134 0
Tile TileMud 133 0
Tile TileMud 134 -1
Tile TileMud 133 -1
Tile TileMud 133 -2
Tile TileMud 134 -2
Tile TileGrassMid 149 6
Tile TileGrassMid 148 6
Tile TileGrassMid 147 6
Tile TileGrassLeft 146 6
Tile TileGrassRight 150 6
Tile TileGrass 157 2
Tile TileGrass 158 2
Tile TileGrass 159 2
Tile TileGrass 160 2
Tile TileGrass 161 2
Tile TileGrass 162 2
Tile TileGrass 163 2
Tile TileGrass 164 2
Tile TileMud 157 1
Tile TileMud 157 -2
Tile TileMud 157 -1
Tile TileMud 157 0
Tile TileMud 158 0
Tile TileMud 158 -1
Tile TileMud 158 -2
Tile TileMud 159 -2
Tile TileMud 159 -1
Tile TileMud 159 0
Tile TileMud 159 1
Tile TileMud 158 1
Tile TileMud 160 1
Tile TileMud 161 1
Tile TileMud 162 1
Tile TileMud 164 1
Tile TileMud 163 1
Tile TileMud 164 0
Tile TileMud 163 0
Tile TileMud 162 0
Tile TileMud 160 0
Tile TileMud 161 -2
Tile TileMud 161 0
Tile TileMud 162 -1
Tile TileMud 161 -1
Tile TileMud 160 -1
Tile TileMud 160 -2
Tile TileMud 162 -2
Tile TileMud 163 -1
Tile TileMud 163 -2
Tile TileMud 164 -2
Tile TileMud 164 -1
Tile TileMud 165 -1
Tile TileMud 165 -2
Tile TileMud 166 -2
Tile TileMud 166 -1
Tile TileMud 166 0
Tile TileMud 165 0
Tile TileMud 165 1
Tile TileMud 166 1
Tile TileMud 167 1
Tile TileMud 168 1
Tile TileMud 169 1
Tile TileMud 171 1
Tile TileMud 170 1
Tile TileMud 172 0
Tile TileMud 173 0
Tile TileMud 171 0
Tile TileMud 171 -1
Tile TileMud 171 -2
Tile TileMud 170 0
Tile TileMud 170 -1
Tile TileMud 170 -2
Tile TileMud 169 -2
Tile TileMud 168 -2
Tile TileMud 167 -2
Tile TileMud 167 -1
Tile TileMud 168 -1
Tile TileMud 167 0
Tile TileMud 169 -1
Tile TileMud 169 0
Tile TileMud 168 0
Tile TileMud 174 -1
Tile TileMud 172 -1
Tile TileMud 173 -1
Tile TileMud 172 -2
Tile TileMud 173 -2
Tile TileMud 175 -1
Tile TileGrass 165 2
Tile TileGrass 166 2
Tile TileGrass 167 2
Tile TileGrass 168 2
Tile TileGrass 169 2
Tile ChatBox 165 3 Assets/Cutscenes/Cutscene_5.txt
Tile ChatBox 8 2 Assets/Cutscenes/Cutscene_4.txt
Tile TileGrass 25 13
Tile TileGrass 26 13
Tile TileGrass 27 13
Tile TileGrass 24 13
Tile ManaFlower 25 12
Tile TileGrass 45 9
Tile TileGrass 46 9
Tile TileGrass 47 9
Tile TileGrass 48 9
Tile ManaFlower 47 8
Tile TileGrass 69 12
Tile TileGrass 70 12
Tile ManaFlower 70 11
Tile TileGrass 93 9
Tile TileGrass 94 9
Tile TileGrass 96 9
Tile TileGrass 95 9
Tile ManaFlower 95 8
Tile Box 106 6
Tile TileGrass 129 10
Tile TileGrass 130 10
Tile ManaFlower 130 9
Tile TileGrass 119 8
Tile TileGrass 120 8
Tile ManaFlower 120 7
