Dark_Cave
Tutorial.ogg
Assets/Levels/2 - Green Fields.txt
Tile TileGrassCenter 31 13
Tile TileGrassCenter 29 13
Tile TileGrassCenter 28 13
Tile TileGrassCenter 32 13
Tile TileGrassCenter 32 12
Tile TileGrassCenter 31 12
Tile TileGrassCenter 33 13
Tile TileGrassCenter 34 13
Tile TileGrassCenter 34 12
Tile TileGrassCenter 33 12
Tile TileGrassCenter 35 12
Tile TileGrassCenter 36 12
Tile TileGrassCenter 37 12
Tile TileGrassCenter 38 12
Tile TileGrassCenter 38 13
Tile TileGrassCenter 36 13
Tile TileGrassCenter 35 13
Tile TileGrassCenter 37 13
Tile TileGrassCenter 39 13
Tile TileGrassCenter 41 13
Tile TileGrassCenter 42 13
Tile TileGrassCenter 43 13
Tile TileGrassCenter 44 12
Tile TileGrassCenter 44 13
Tile TileGrassCenter 40 13
Tile TileGrassCenter 39 12
Tile TileGrassCenter 40 12
Tile TileGrassCenter 41 12
Tile TileGrassCenter 43 12
Tile TileGrassCenter 45 12
Tile TileGrassCenter 46 12
Tile TileGrassCenter 47 13
Tile TileGrassCenter 47 12
Tile TileGrassCenter 48 13
Tile TileGrassCenter 48 12
Tile TileGrassCenter 46 13
Tile TileGrassCenter 45 13
Tile TileGrassCenter 42 12
Tile TileGrassCenter 49 13
Tile TileGrassCenter 51 13
Tile TileGrassCenter 52 13
Tile TileGrassCenter 53 13
Tile TileGrassCenter 54 13
Tile TileGrassCenter 54 12
Tile TileGrassCenter 52 12
Tile TileGrassCenter 51 12
Tile TileGrassCenter 50 12
Tile TileGrassCenter 49 12
Tile TileGrassCenter 50 13
Tile TileGrassCenter 53 12
Tile TileGrassCenter 37 5
Tile TileGrassCenter 37 4
Tile TileGrassCenter 37 3
Tile TileGrassCenter 37 2
Tile TileGrassCenter 39 1
Tile TileGrassCenter 38 1
Tile TileGrassCenter 37 1
Tile TileGrassCenter 38 0
Tile TileGrassCenter 40 2
Tile TileGrassCenter 40 1
Tile TileGrassCenter 41 2
Tile TileGrassCenter 42 2
Tile TileGrassCenter 43 3
Tile TileGrassCenter 43 2
Tile TileGrassCenter 42 3
Tile TileGrassCenter 42 4
Tile TileGrassCenter 42 5
Tile TileGrassCenter 41 5
Tile TileGrassCenter 41 4
Tile TileGrassCenter 41 3
Tile TileGrassCenter 40 5
Tile TileGrassCenter 40 4
Tile TileGrassCenter 39 3
Tile TileGrassCenter 39 2
Tile TileGrassCenter 40 3
Tile TileGrassCenter 38 2
Tile TileGrassCenter 38 3
Tile TileGrassCenter 39 4
Tile TileGrassCenter 39 5
Tile TileGrassCenter 38 5
Tile TileGrassCenter 38 4
Tile TileGrassCenter 43 5
Tile TileGrassCenter 43 4
Tile TileGrassCenter 44 5
Tile TileGrassCenter 44 4
Tile TileGrassCenter 44 3
Tile TileGrassCenter 44 2
Tile TileGrassCenter 46 3
Tile TileGrassCenter 46 4
Tile TileGrassCenter 45 4
Tile TileGrassCenter 45 3
Tile TileGrassCenter 45 5
Tile TileGrassCenter 46 5
Tile TileGrassCenter 47 5
Tile TileGrassCenter 47 4
Tile TileGrassCenter 48 5
Tile TileGrassCenter 48 4
Tile TileGrassCenter 49 5
Tile TileGrassCenter 49 4
Tile TileGrassCenter 54 4
Tile TileGrassCenter 54 5
Tile TileGrassCenter 53 5
Tile TileGrassCenter 52 4
Tile TileGrassCenter 53 4
Tile TileGrassCenter 52 5
Tile TileGrassCenter 51 4
Tile TileGrassCenter 50 5
Tile TileGrassCenter 50 4
Tile TileGrassCenter 51 5
Tile LevelGoal 47 11
Tile LevelGoal 47 10
Tile LevelGoal 47 9
Tile LevelGoal 47 8
Tile LevelGoal 47 7
Tile LevelGoal 47 6
Tile TileGrassCenter 55 12
Tile TileGrassCenter 56 12
Tile TileGrassCenter 56 13
Tile TileGrassCenter 55 13
Tile TileGrassCenter 56 5
Tile TileGrassCenter 55 4
Tile TileGrassCenter 56 4
Tile TileGrassCenter 55 5
Tile TileGrassCenter 57 5
Tile TileGrassCenter 58 5
Tile TileGrassCenter 57 4
Tile TileGrassCenter 59 5
Tile TileGrassCenter 58 4
Tile TileGrassCenter 59 4
Tile TileGrassCenter 60 4
Tile TileGrassCenter 60 5
Tile TileGrassCenter 61 5
Tile TileGrassCenter 61 4
Tile TileGrassCenter 57 13
Tile TileGrassCenter 57 12
Tile TileGrassCenter 58 13
Tile TileGrassCenter 58 12
Tile TileGrassCenter 59 13
Tile TileGrassCenter 59 12
Tile TileGrassCenter 60 13
Tile TileGrassCenter 60 12
Tile TileGrassCenter 61 13
Tile TileGrassCenter 61 12
Tile ManaFlower 40 11
Tile ManaFlower 37 11
Tile ManaFlower 42 11
Tile ChatBox 8 4 Assets/Cutscenes/Cutscene_1.txt
Tile ChatBox 34 6 Assets/Cutscenes/Cutscene_2.txt
